"id";"author_id"
309709431;3065230
309709431;3065230
306479826;899444
306479826;52195
306479826;52195
306479826;3065230
173570973;13121330
206203982;439929
186710054;287917
131348383;1538624
306479826;3065230
306437562;899444
306437562;9373002
306437562;3759816
206203982;505333
206203982;505333
191920623;976081
128066528;96947
352646620;17770407
306437562;9373002
306437562;439929
306437562;439929
306437562;8500303
282022255;899444
263754790;899444
174926279;5140142
306437562;976081
306437562;976081
306405085;432351
306371369;1443911
295083356;3109072
352482447;5445507
306437562;387506
306437562;8500303
306405085;718899
306405085;718899
282022255;899444
206203982;439929
348683671;899444
281756159;5952481
173786146;899444
303497389;718899
303412923;291301
303411995;2512748
303411995;14026360
303411995;1443911
303411995;14026360
206203982;79017
303401447;718899
302996121;1443911
302960382;1935767
302960382;4922778
302960382;718899
206203982;439929
302960382;718899
302960382;4922778
302960382;1935767
302960382;1315533
302604863;14026360
302283303;10393198
206203982;79017
174926279;20809
352482447;5445507
282022255;2512748
302283303;567540
302283303;567540
302283303;598730
302109901;1443911
282022255;899444
206203982;439929
191920623;3302320
186710054;287917
128043380;439929
299387494;17607
299387494;17607
206203982;79017
299387494;234659
352482447;718899
299387494;718899
299387494;718899
299387494;718899
299387494;234659
286475683;2512748
282022255;899444
206200469;505333
352482447;718899
191920623;3302320
295456959;899444
295456959;899444
295251535;1246544
295251535;44906333
206200469;439929
173686470;5952481
295251535;3259089
295251535;8822573
295120564;718899
295120564;10393198
295120564;33004629
282022255;899444
206195978;899444
295120564;33004629
295120564;10393198
295120564;718899
295120564;10393198
295083356;10393198
295083356;10393198
295083356;10393198
295083356;10393198
206195978;439929
174922629;54666
282022255;275871
295083356;718899
295074694;8822573
295074694;10933333
292422804;4299420
292422804;432351
206195978;1315533
168555804;275871
122936426;505333
292151515;52195
292151515;557590
292151515;52195
292151515;2512748
206195978;439929
292151515;54666
292151515;2512748
292151515;291301
173570973;718899
106616323;275871
206195978;1315533
360358482;2512748
289990630;275871
289990630;432351
128043380;4299420
291978139;5445507
291978139;14026360
206183345;10393198
191920623;899444
